z,B_z
-1.498122653316645847e+00,2.193699734008388091e+01
-1.490613266583229013e+00,2.191678991008999944e+01
-1.483103879849812401e+00,2.185273112721573696e+01
-1.475594493116395567e+00,2.174572744241706701e+01
-1.468085106382978733e+00,2.159717005774614407e+01
-1.460575719649561899e+00,2.140889461045379250e+01
-1.453066332916145287e+00,2.118312946789204076e+01
-1.445556946182728453e+00,2.092243530496859449e+01
-1.438047559449311619e+00,2.062963893298623574e+01
-1.430538172715895007e+00,2.030776442269537796e+01
-1.423028785982478173e+00,1.995996442871854981e+01
-1.415519399249061339e+00,1.958945431002833715e+01
-1.408010012515644505e+00,1.919945119825405655e+01
-1.400500625782227893e+00,1.879311964505031796e+01
-1.392991239048811059e+00,1.837352493394612551e+01
-1.385481852315394224e+00,1.794359461699310998e+01
-1.377972465581977612e+00,1.750608836796800105e+01
-1.370463078848560778e+00,1.706357585548490619e+01
-1.362953692115143944e+00,1.661842204276421953e+01
-1.355444305381727110e+00,1.617277911707591187e+01
-1.347934918648310498e+00,1.572858413404549083e+01
-1.340425531914893664e+00,1.528756141779086164e+01
-1.332916145181476830e+00,1.485122877223217053e+01
-1.325406758448060218e+00,1.442090661631966064e+01
-1.317897371714643384e+00,1.399772924183773526e+01
-1.310387984981226550e+00,1.358265749434143999e+01
-1.302878598247809716e+00,1.317649228558815366e+01
-1.295369211514393104e+00,1.277988845205986834e+01
-1.287859824780976270e+00,1.239336857361228361e+01
-1.280350438047559436e+00,1.201733645579663445e+01
-1.272841051314142824e+00,1.165209005730466529e+01
-1.265331664580725990e+00,1.129783370993901137e+01
-1.257822277847309156e+00,1.095468953282858848e+01
-1.250312891113892322e+00,1.062270798625390889e+01
-1.242803504380475710e+00,1.030187754459956473e+01
-1.235294117647058876e+00,9.992133493912472630e+00
-1.227784730913642042e+00,9.693365878649764511e+00
-1.220275344180225430e+00,9.405426635659496881e+00
-1.212765957446808596e+00,9.128135962358438604e+00
-1.205256570713391762e+00,8.861287971443569944e+00
-1.197747183979974928e+00,8.604655687080104087e+00
-1.190237797246558316e+00,8.357995438072197913e+00
-1.182728410513141482e+00,8.121050702565998591e+00
-1.175219023779724647e+00,7.893555456822697103e+00
-1.167709637046308035e+00,7.675237077876178482e+00
-1.160200250312891201e+00,7.465818846723639268e+00
-1.152690863579474367e+00,7.265022095300905924e+00
-1.145181476846057533e+00,7.072568037011450315e+00
-1.137672090112640921e+00,6.888179317124457413e+00
-1.130162703379224087e+00,6.711581316017096732e+00
-1.122653316645807253e+00,6.542503235040847187e+00
-1.115143929912390641e+00,6.380678991807217315e+00
-1.107634543178973807e+00,6.225847948890245398e+00
-1.100125156445556973e+00,6.077755497389089712e+00
-1.092615769712140139e+00,5.936153514431280698e+00
-1.085106382978723527e+00,5.800800711563517176e+00
-1.077596996245306693e+00,5.671462889039766253e+00
-1.070087609511889859e+00,5.547913109264978715e+00
-1.062578222778473247e+00,5.429931801083839993e+00
-1.055068836045056413e+00,5.317306805203235953e+00
-1.047559449311639579e+00,5.209833369765499711e+00
-1.040050062578222745e+00,5.107314103992966814e+00
-1.032540675844806133e+00,5.009558896802883687e+00
-1.025031289111389299e+00,4.916384806430246002e+00
-1.017521902377972465e+00,4.827615926300643956e+00
-1.010012515644555853e+00,4.743083231705883307e+00
-1.002503128911139019e+00,4.662624411231378829e+00
-9.949937421777224067e-01,4.586083686331116738e+00
-9.874843554443053506e-01,4.513311621991470624e+00
-9.799749687108887386e-01,4.444164930987930084e+00
-9.724655819774716825e-01,4.378506273891854761e+00
-9.649561952440550705e-01,4.316204056648847320e+00
-9.574468085106384585e-01,4.257132227283261905e+00
-9.499374217772214024e-01,4.201170073025743967e+00
-9.424280350438047904e-01,4.148202018958094150e+00
-9.349186483103881784e-01,4.098117429077358764e+00
-9.274092615769711223e-01,4.050810410521531679e+00
-9.198998748435545103e-01,4.006179621558633386e+00
-9.123904881101378983e-01,3.964128083821582216e+00
-9.048811013767208422e-01,3.924562999164509680e+00
-8.973717146433042302e-01,3.887395571425675822e+00
-8.898623279098876182e-01,3.852540833307962043e+00
-8.823529411764705621e-01,3.819917478521163368e+00
-8.748435544430539501e-01,3.789447699269510750e+00
-8.673341677096368940e-01,3.761057029127221618e+00
-8.598247809762202820e-01,3.734674191299713009e+00
-8.523153942428036700e-01,3.710230952238329216e+00
-8.448060075093866139e-01,3.687661980541581119e+00
-8.372966207759700019e-01,3.666904711063794675e+00
-8.297872340425533899e-01,3.647899214122785505e+00
-8.222778473091363338e-01,3.630588069689249853e+00
-8.147684605757197218e-01,3.614916246426790547e+00
-8.072590738423031098e-01,3.600830985443842724e+00
-7.997496871088860537e-01,3.588281688607736886e+00
-7.922403003754694417e-01,3.577219811275361483e+00
-7.847309136420528297e-01,3.567598759279655418e+00
-7.772215269086357736e-01,3.559373790022857253e+00
-7.697121401752191616e-01,3.552501917515865415e+00
-7.622027534418021055e-01,3.546941821212545420e+00
-7.546933667083854935e-01,3.542653758484593407e+00
-7.471839799749688815e-01,3.539599480586226310e+00
-7.396745932415518254e-01,3.537742151963013448e+00
-7.321652065081352134e-01,3.537046272760076882e+00
-7.246558197747186014e-01,3.537477604391011443e+00
-7.171464330413015453e-01,3.539003098032708738e+00
-7.096370463078849333e-01,3.541590825915137408e+00
-7.021276595744683213e-01,3.545209915281511304e+00
-6.946182728410512652e-01,3.549830484898691907e+00
-6.871088861076346532e-01,3.555423584002601167e+00
-6.795994993742180412e-01,3.561961133567129068e+00
-6.720901126408009851e-01,3.569415869795252938e+00
-6.645807259073843731e-01,3.577761289731444361e+00
-6.570713391739673170e-01,3.586971598900844160e+00
-6.495619524405507050e-01,3.597021660886420502e+00
-6.420525657071340930e-01,3.607886948765029356e+00
-6.345431789737170369e-01,3.619543498317010499e+00
-6.270337922403004249e-01,3.631967862944473602e+00
-6.195244055068838129e-01,3.645137070222933318e+00
-6.120150187734667568e-01,3.659028580030843081e+00
-6.045056320400501448e-01,3.673620244193889661e+00
-5.969962453066335328e-01,3.688890267594094219e+00
-5.894868585732164767e-01,3.704817170695450024e+00
-5.819774718397998647e-01,3.721379753443851968e+00
-5.744680851063832527e-01,3.738557060500705020e+00
-5.669586983729661966e-01,3.756328347780441224e+00
-5.594493116395495846e-01,3.774673050258281037e+00
-5.519399249061325285e-01,3.793570751028357613e+00
-5.444305381727159165e-01,3.813001151589117121e+00
-5.369211514392993045e-01,3.832944043341008467e+00
-5.294117647058822484e-01,3.853379280284875641e+00
-5.219023779724656364e-01,3.874286752914306131e+00
-5.143929912390490244e-01,3.895646363296786596e+00
-5.068836045056319684e-01,3.917438001346666532e+00
-4.993742177722153563e-01,3.939641522290779463e+00
-4.918648310387987443e-01,3.962236725337927368e+00
-4.843554443053816883e-01,3.985203333561757599e+00
-4.768460575719650762e-01,4.008520975011289345e+00
-4.693366708385484642e-01,4.032169165069106498e+00
-4.618272841051314082e-01,4.056127290074964087e+00
-4.543178973717147962e-01,4.080374592240787912e+00
-4.468085106382977401e-01,4.104890155882768177e+00
-4.392991239048811281e-01,4.129652894998351975e+00
-4.317897371714645161e-01,4.154641542218139527e+00
-4.242803504380474600e-01,4.179834639166455368e+00
-4.167709637046308480e-01,4.205210528264160530e+00
-4.092615769712142360e-01,4.230747346005907517e+00
-4.017521902377971799e-01,4.256423017751466809e+00
-3.942428035043805679e-01,4.282215254063734378e+00
-3.867334167709639559e-01,4.308101548632429001e+00
-3.792240300375468998e-01,4.334059177816289576e+00
-3.717146433041302878e-01,4.360065201840201077e+00
-3.642052565707136758e-01,4.386096467682132349e+00
-3.566958698372966197e-01,4.412129613678178686e+00
-3.491864831038800077e-01,4.438141075877816810e+00
-3.416770963704629516e-01,4.464107096175773393e+00
-3.341677096370463396e-01,4.490003732242933587e+00
-3.266583229036297276e-01,4.515806869277210644e+00
-3.191489361702126715e-01,4.541492233586473581e+00
-3.116395494367960595e-01,4.567035408017201092e+00
-3.041301627033794475e-01,4.592411849231981869e+00
-2.966207759699623914e-01,4.617596906831774817e+00
-2.891113892365457794e-01,4.642565844319094026e+00
-2.816020025031291674e-01,4.667293861883484496e+00
-2.740926157697121113e-01,4.691756120987444767e+00
-2.665832290362954993e-01,4.715927770721530798e+00
-2.590738423028788873e-01,4.739783975888277823e+00
-2.515644555694618312e-01,4.763299946767062920e+00
-2.440550688360452192e-01,4.786450970502183822e+00
-2.365456821026281631e-01,4.809212444044945300e+00
-2.290362953692115511e-01,4.831559908573918705e+00
-2.215269086357949391e-01,4.853469085305773589e+00
-2.140175219023778830e-01,4.874915912598588363e+00
-2.065081351689612710e-01,4.895876584240769880e+00
-1.989987484355446590e-01,4.916327588809031646e+00
-1.914893617021276029e-01,4.936245749966595930e+00
-1.839799749687109909e-01,4.955608267566514513e+00
-1.764705882352943789e-01,4.974392759415455778e+00
-1.689612015018773228e-01,4.992577303540259415e+00
-1.614518147684607108e-01,5.010140480800760798e+00
-1.539424280350440988e-01,5.027061417674308252e+00
-1.464330413016270427e-01,5.043319829040689761e+00
-1.389236545682104307e-01,5.058896060783594884e+00
-1.314142678347933746e-01,5.073771132022432795e+00
-1.239048811013767626e-01,5.087926776789949201e+00
-1.163954943679601506e-01,5.101345484957665377e+00
-1.088861076345430945e-01,5.114010542221850031e+00
-1.013767209011264825e-01,5.125906068956314066e+00
-9.386733416770987048e-02,5.137017057740109749e+00
-8.635794743429281439e-02,5.147329409374223452e+00
-7.884856070087620239e-02,5.156829967203902854e+00
-7.133917396745959039e-02,5.165506549569045980e+00
-6.382978723404253429e-02,5.173347980210290409e+00
-5.632040050062592229e-02,5.180344116473878380e+00
-4.881101376720931029e-02,5.186485875158703074e+00
-4.130162703379225420e-02,5.191765255867476725e+00
-3.379224030037564219e-02,5.196175361734081122e+00
-2.628285356695858610e-02,5.199710417408979879e+00
-1.877346683354197410e-02,5.202365784206508970e+00
-1.126408010012536209e-02,5.204137972327374406e+00
-3.754693366708306002e-03,5.205024650084287607e+00
3.754693366708306002e-03,5.205024650084287607e+00
1.126408010012491800e-02,5.204137972327165684e+00
1.877346683354197410e-02,5.202365784206508970e+00
2.628285356695858610e-02,5.199710417408979879e+00
3.379224030037519810e-02,5.196175361734060694e+00
4.130162703379225420e-02,5.191765255867476725e+00
4.881101376720886620e-02,5.186485875158679981e+00
5.632040050062547820e-02,5.180344116473982297e+00
6.382978723404253429e-02,5.173347980210290409e+00
7.133917396745914630e-02,5.165506549569182759e+00
7.884856070087620239e-02,5.156829967203902854e+00
8.635794743429281439e-02,5.147329409374223452e+00
9.386733416770942640e-02,5.137017057739963199e+00
1.013767209011264825e-01,5.125906068956314066e+00
1.088861076345430945e-01,5.114010542221850031e+00
1.163954943679597065e-01,5.101345484957470866e+00
1.239048811013767626e-01,5.087926776789949201e+00
1.314142678347933746e-01,5.073771132022432795e+00
1.389236545682099866e-01,5.058896060783529158e+00
1.464330413016270427e-01,5.043319829040689761e+00
1.539424280350436547e-01,5.027061417674248744e+00
1.614518147684602667e-01,5.010140480800723495e+00
1.689612015018773228e-01,4.992577303540259415e+00
1.764705882352939348e-01,4.974392759415628973e+00
1.839799749687109909e-01,4.955608267566514513e+00
1.914893617021276029e-01,4.936245749966595930e+00
1.989987484355442149e-01,4.916327588808974802e+00
2.065081351689612710e-01,4.895876584240769880e+00
2.140175219023778830e-01,4.874915912598588363e+00
2.215269086357944950e-01,4.853469085305851749e+00
2.290362953692115511e-01,4.831559908573918705e+00
2.365456821026281631e-01,4.809212444044945300e+00
2.440550688360447751e-01,4.786450970502095892e+00
2.515644555694618312e-01,4.763299946767062920e+00
2.590738423028784432e-01,4.739783975888228085e+00
2.665832290362950552e-01,4.715927770721524581e+00
2.740926157697121113e-01,4.691756120987444767e+00
2.816020025031287233e-01,4.667293861883393902e+00
2.891113892365457794e-01,4.642565844319094026e+00
2.966207759699623914e-01,4.617596906831774817e+00
3.041301627033790034e-01,4.592411849232059140e+00
3.116395494367960595e-01,4.567035408017201092e+00
3.191489361702126715e-01,4.541492233586473581e+00
3.266583229036292835e-01,4.515806869277337654e+00
3.341677096370463396e-01,4.490003732242933587e+00
3.416770963704629516e-01,4.464107096175773393e+00
3.491864831038795636e-01,4.438141075877716446e+00
3.566958698372966197e-01,4.412129613678178686e+00
3.642052565707132317e-01,4.386096467682175870e+00
3.717146433041298437e-01,4.360065201840284566e+00
3.792240300375468998e-01,4.334059177816289576e+00
3.867334167709635118e-01,4.308101548632640387e+00
3.942428035043805679e-01,4.282215254063735266e+00
4.017521902377971799e-01,4.256423017751466809e+00
4.092615769712137919e-01,4.230747346005908405e+00
4.167709637046308480e-01,4.205210528264160530e+00
4.242803504380474600e-01,4.179834639166455368e+00
4.317897371714640720e-01,4.154641542218068473e+00
4.392991239048811281e-01,4.129652894998351087e+00
4.468085106382977401e-01,4.104890155882768177e+00
4.543178973717143521e-01,4.080374592240575637e+00
4.618272841051314082e-01,4.056127290074964087e+00
4.693366708385480202e-01,4.032169165069194428e+00
4.768460575719646322e-01,4.008520975011409249e+00
4.843554443053816883e-01,3.985203333561757599e+00
4.918648310387983003e-01,3.962236725337818566e+00
4.993742177722153563e-01,3.939641522290779019e+00
5.068836045056319684e-01,3.917438001346666088e+00
5.143929912390485804e-01,3.895646363296764392e+00
5.219023779724656364e-01,3.874286752914306131e+00
5.294117647058822484e-01,3.853379280284875641e+00
5.369211514392988605e-01,3.832944043340940965e+00
5.444305381727159165e-01,3.813001151589117121e+00
5.519399249061325285e-01,3.793570751028357613e+00
5.594493116395491406e-01,3.774673050258275708e+00
5.669586983729661966e-01,3.756328347780441224e+00
5.744680851063828086e-01,3.738557060500862228e+00
5.819774718397994206e-01,3.721379753443805782e+00
5.894868585732164767e-01,3.704817170695450024e+00
5.969962453066330887e-01,3.688890267594069794e+00
6.045056320400501448e-01,3.673620244193889661e+00
6.120150187734667568e-01,3.659028580030843081e+00
6.195244055068833688e-01,3.645137070223145592e+00
6.270337922403004249e-01,3.631967862944474046e+00
6.345431789737170369e-01,3.619543498317010499e+00
6.420525657071336489e-01,3.607886948764896573e+00
6.495619524405507050e-01,3.597021660886420058e+00
6.570713391739673170e-01,3.586971598900844160e+00
6.645807259073839290e-01,3.577761289731629102e+00
6.720901126408009851e-01,3.569415869795252938e+00
6.795994993742175971e-01,3.561961133567157489e+00
6.871088861076342091e-01,3.555423584002693982e+00
6.946182728410512652e-01,3.549830484898691907e+00
7.021276595744678772e-01,3.545209915281392732e+00
7.096370463078849333e-01,3.541590825915137852e+00
7.171464330413015453e-01,3.539003098032709183e+00
7.246558197747181573e-01,3.537477604391147779e+00
7.321652065081352134e-01,3.537046272760076882e+00
7.396745932415518254e-01,3.537742151963013448e+00
7.471839799749684374e-01,3.539599480586359093e+00
7.546933667083854935e-01,3.542653758484593407e+00
7.622027534418021055e-01,3.546941821212545864e+00
7.697121401752187175e-01,3.552501917515965335e+00
7.772215269086357736e-01,3.559373790022857253e+00
7.847309136420523856e-01,3.567598759279767329e+00
7.922403003754689976e-01,3.577219811275382799e+00
7.997496871088860537e-01,3.588281688607736886e+00
8.072590738423026657e-01,3.600830985443751686e+00
8.147684605757197218e-01,3.614916246426790547e+00
8.222778473091363338e-01,3.630588069689249853e+00
8.297872340425529458e-01,3.647899214122751310e+00
8.372966207759700019e-01,3.666904711063794675e+00
8.448060075093866139e-01,3.687661980541581119e+00
8.523153942428032259e-01,3.710230952238271929e+00
8.598247809762202820e-01,3.734674191299713009e+00
8.673341677096368940e-01,3.761057029127222062e+00
8.748435544430535060e-01,3.789447699269434366e+00
8.823529411764705621e-01,3.819917478521162923e+00
8.898623279098871741e-01,3.852540833308010892e+00
8.973717146433042302e-01,3.887395571425676266e+00
9.048811013767208422e-01,3.924562999164510124e+00
9.123904881101374542e-01,3.964128083821650606e+00
9.198998748435545103e-01,4.006179621558633386e+00
9.274092615769711223e-01,4.050810410521532567e+00
9.349186483103877343e-01,4.098117429077454688e+00
9.424280350438047904e-01,4.148202018958094150e+00
9.499374217772214024e-01,4.201170073025743967e+00
9.574468085106380144e-01,4.257132227283374704e+00
9.649561952440550705e-01,4.316204056648847320e+00
9.724655819774716825e-01,4.378506273891854761e+00
9.799749687108882945e-01,4.444164930987850148e+00
9.874843554443053506e-01,4.513311621991470624e+00
9.949937421777219626e-01,4.586083686331136278e+00
1.002503128911138575e+00,4.662624411231305110e+00
1.010012515644555187e+00,4.743083231705960578e+00
1.017521902377972687e+00,4.827615926300604876e+00
1.025031289111389299e+00,4.916384806430246002e+00
1.032540675844805911e+00,5.009558896802916550e+00
1.040050062578222523e+00,5.107314103992956156e+00
1.047559449311639135e+00,5.209833369765517475e+00
1.055068836045056635e+00,5.317306805203107167e+00
1.062578222778473247e+00,5.429931801083840881e+00
1.070087609511889859e+00,5.547913109264978715e+00
1.077596996245306471e+00,5.671462889039815103e+00
1.085106382978723083e+00,5.800800711563494971e+00
1.092615769712139695e+00,5.936153514431225631e+00
1.100125156445557195e+00,6.077755497389032868e+00
1.107634543178973807e+00,6.225847948890245398e+00
1.115143929912390419e+00,6.380678991807163136e+00
1.122653316645807031e+00,6.542503235040986631e+00
1.130162703379223643e+00,6.711581316017114496e+00
1.137672090112640255e+00,6.888179317124467183e+00
1.145181476846057755e+00,7.072568037011259356e+00
1.152690863579474367e+00,7.265022095300905036e+00
1.160200250312890979e+00,7.465818846723633051e+00
1.167709637046307591e+00,7.675237077876170488e+00
1.175219023779724203e+00,7.893555456822753058e+00
1.182728410513141704e+00,8.121050702565897339e+00
1.190237797246558316e+00,8.357995438072197913e+00
1.197747183979974928e+00,8.604655687080102311e+00
1.205256570713391540e+00,8.861287971443553957e+00
1.212765957446808152e+00,9.128135962358616240e+00
1.220275344180224764e+00,9.405426635659519974e+00
1.227784730913642264e+00,9.693365878649922607e+00
1.235294117647058876e+00,9.992133493912472630e+00
1.242803504380475488e+00,1.030187754459946348e+01
1.250312891113892100e+00,1.062270798625390178e+01
1.257822277847308712e+00,1.095468953282842683e+01
1.265331664580726212e+00,1.129783370993905400e+01
1.272841051314142824e+00,1.165209005730466529e+01
1.280350438047559436e+00,1.201733645579663445e+01
1.287859824780976048e+00,1.239336857361232980e+01
1.295369211514392660e+00,1.277988845205979018e+01
1.302878598247809272e+00,1.317649228558827978e+01
1.310387984981226772e+00,1.358265749434142222e+01
1.317897371714643384e+00,1.399772924183773526e+01
1.325406758448059996e+00,1.442090661631958426e+01
1.332916145181476608e+00,1.485122877223231086e+01
1.340425531914893220e+00,1.528756141779079947e+01
1.347934918648309832e+00,1.572858413404550149e+01
1.355444305381727332e+00,1.617277911707605398e+01
1.362953692115143944e+00,1.661842204276421953e+01
1.370463078848560556e+00,1.706357585548481381e+01
1.377972465581977168e+00,1.750608836796797618e+01
1.385481852315393780e+00,1.794359461699305314e+01
1.392991239048811281e+00,1.837352493394604380e+01
1.400500625782227893e+00,1.879311964505031796e+01
1.408010012515644505e+00,1.919945119825406010e+01
1.415519399249061117e+00,1.958945431002834425e+01
1.423028785982477729e+00,1.995996442871839704e+01
1.430538172715894341e+00,2.030776442269541349e+01
1.438047559449311841e+00,2.062963893298624996e+01
1.445556946182728453e+00,2.092243530496859449e+01
1.453066332916145065e+00,2.118312946789198747e+01
1.460575719649561677e+00,2.140889461045363973e+01
1.468085106382978289e+00,2.159717005774613341e+01
1.475594493116395789e+00,2.174572744241699596e+01
1.483103879849812401e+00,2.185273112721573696e+01
1.490613266583229013e+00,2.191678991008999944e+01
1.498122653316645625e+00,2.193699734008380986e+01
