E_b_keV,C_45_Rm4_ground_truth,C_45_Rm5_ground_truth,C_45_Rm6_ground_truth,C_45_Rm7_ground_truth,C_45_Rm8_ground_truth,C_45_Rm9_ground_truth,C_45_Rm10_ground_truth,C_45_Rm11_ground_truth,C_45_Rm12_ground_truth,C_45_Rm13_ground_truth,C_45_Rm14_ground_truth,C_45_Rm15_ground_truth,C_45_Rm16_ground_truth,C_45_Rm4_2Dfit,Residual_Rm4,C_45_Rm5_2Dfit,Residual_Rm5,C_45_Rm6_2Dfit,Residual_Rm6,C_45_Rm7_2Dfit,Residual_Rm7,C_45_Rm8_2Dfit,Residual_Rm8,C_45_Rm9_2Dfit,Residual_Rm9,C_45_Rm10_2Dfit,Residual_Rm10,C_45_Rm11_2Dfit,Residual_Rm11,C_45_Rm12_2Dfit,Residual_Rm12,C_45_Rm13_2Dfit,Residual_Rm13,C_45_Rm14_2Dfit,Residual_Rm14,C_45_Rm15_2Dfit,Residual_Rm15,C_45_Rm16_2Dfit,Residual_Rm16
10.0,,,,,,,,,,,,,,0.1175270563358239,,0.12304813727987743,,0.12715372069677622,,0.13034045663946736,,0.13289023437488415,,0.1349769428179845,,0.13671461530176784,,0.1381816281231841,,0.13943389386369395,,0.14051252612957585,,0.1414485257524285,,0.1422657689055603,,0.1429829807737252,
11.0,,,,,,,,,,,,,,0.1178109853291157,,0.123349650749289,,0.12746960172932226,,0.13066848527355643,,0.13322878574006275,,0.13532477588978475,,0.1370707511430662,,0.1385452747330924,,0.13980439726812674,,0.14088933717352298,,0.14183117675840434,,0.14265385678611286,,0.14337615451079055,
12.0,,,,,,,,,,,,,,0.11809258270865719,,0.12364883260495019,,0.1277831511481179,,0.13099418229389515,,0.133565005491491,,0.13567027734783463,,0.13742455537061415,,0.13890658972925043,,0.1401725690588092,,0.14126381660371987,,0.14221149615062983,,0.14303961305291504,,0.1437669966341056,
13.0,,,,,,,,,,,,,,0.11837184847444837,,0.12394568284686114,,0.1280943689531633,,0.1313175477004836,,0.13389889362916896,,0.13601344719213426,,0.13777602798441188,,0.1392655731116581,,0.14053840923574137,,0.14163596442016632,,0.14258948392910506,,0.14342303770596695,,0.14415550714367034,
14.0,,,,,,,,,,,,,,0.1186487826264892,,0.12424020147502168,,0.12840325514445833,,0.13163858149332167,,0.13423045015309656,,0.1363542854226835,,0.1381251689844592,,0.1396222248803155,,0.1409019177989232,,0.14200578062286257,,0.1429651400938299,,0.1438041307452685,,0.14454168603948472,
15.0,,,,,,,,,,,,,,0.11892338516477974,,0.12453238848943196,,0.12870980972200308,,0.13195728367240944,,0.13455967506327388,,0.13669279203948245,,0.13847197837075625,,0.13997654503522253,,0.14126309474835472,,0.1423732652118084,,0.14333846464480446,,0.14418289217081975,,0.1449255333215488,
16.0,,,,,,,,,,,,,,0.11919565608931992,,0.12482224389009192,,0.1290140326857975,,0.1322736542377469,,0.13488656835970086,,0.1370289670425311,,0.13881645614330299,,0.14032853357637928,,0.1416219400840359,,0.142738418187004,,0.14370945758202872,,0.1445593219826207,,0.14530704898986255,
17.0,,,,,,,,,,,,,,0.11946559540010987,,0.12510976767700158,,0.12931592403584163,,0.13258769318933408,,0.1352111300423776,,0.1373628104318294,,0.13915860230209942,,0.14067819050378572,,0.14197845380596683,,0.14310123954844922,,0.14407811890550262,,0.14493342018067135,,0.14568623304442604,
18.0,,,,,,,,,,,,,,0.11973320309714944,,0.12539495985016091,,0.12961548377213544,,0.13289940052717092,,0.13553336011130396,,0.13769432220737743,,0.13949841684714553,,0.14102551581744185,,0.14233263591414738,,0.14346172929614417,,0.1444444486152263,,0.14530518676497167,,0.14606308548523916,
19.0,,,,,,,,,,,,,,0.11999847918043871,,0.1256778204095699,,0.1299127118946789,,0.13320877625125743,,0.13585325856647998,,0.1380235023691751,,0.1398358997784413,,0.14137050951734761,,0.14268448640857764,,0.14381988743008878,,0.14480844671119952,,0.14567462173552165,,0.146437606312302,
20.0,0.12266611099246708,0.1277764888536198,0.13138041422762597,0.13402647251579355,0.13414204056991863,0.13821349872787467,0.14003006543559562,0.1415560705994165,0.14285192670523686,0.14396200571839246,0.1449197282903618,0.14575080637322393,0.1464753834088693,0.12026142364997768,0.0024046873424894005,0.12595834935522862,0.0018181394983911858,0.1302076084034721,0.001172805824153883,0.13351582036159365,0.0005106521541999032,0.1361708254079057,-0.0020287848379870743,0.1383503509172225,-0.00013685218934783583,0.1401710510959868,-0.00014098566039116855,0.14171317160350314,-0.00015710100408664052,0.14303400528925758,-0.00018207858402072286,0.14417571395028314,-0.00021370823189068022,0.14517011319342257,-0.0002503849030607852,0.14604172509232136,-0.0002909187190974216,0.14680979552561452,-0.00033441211674523075
21.0,0.12266611099246708,0.1277764888536198,0.13138041422762597,0.13402647251579355,0.13414204056991863,0.13821349872787467,0.14003006543559562,0.1415560705994165,0.14285192670523686,0.14396200571839246,0.1449197282903618,0.14575080637322393,0.1464753834088693,0.1205220365057663,0.0021440744867007727,0.12623654668713696,0.0015399421664828439,0.1305001732985149,0.0008802409291110702,0.1338205328581795,0.00020593965761406263,0.13648606063558108,-0.00234402006566245,0.13867486785151953,-0.0004613691236448614,0.1405038707997819,-0.00047380536418628605,0.14205350207590828,-0.0004974314764917831,0.1433811925561872,-0.000529265850950339,0.14452920885672707,-0.0005672031383346099,0.1455294480618952,-0.0006097197715334013,0.1464064968353707,-0.0006556904621467519,0.1471796531251767,-0.0007042697163074096
22.0,0.12266611099246708,0.1277796379555833,0.1313864935809239,0.13403528001411177,0.13416475330213629,0.1382232528575331,0.14003827269974098,0.14156278612600584,0.14285720371804775,0.14396589480831865,0.14492227715815237,0.14575205981241873,0.1464753834088693,0.12078031774780464,0.0018857932446624398,0.12651241240529507,0.0012672255502882424,0.13079040657980748,0.0005960870011164354,0.13412291374101512,-8.76337269033467e-05,0.13679896424950622,-0.0026342109473699304,0.13899705317206631,-0.000773800314533224,0.1408343588898268,-0.0007960861900858096,0.14239150093456313,-0.0008287148085572849,0.14372604820936652,-0.000868844491318771,0.14488037214942073,-0.0009144773411020879,0.14588645131661757,-0.0009641741584651975,0.14676893696466975,-0.0010168771522510167,0.14754717911098858,-0.0010717957021192936
23.0,0.12268973565231898,0.12783229944334742,0.1314659522146344,0.134139550926127,0.13440462687403507,0.13833264469373172,0.14013031655464905,0.14163810025554688,0.1429163850229151,0.14400951066161,0.1449508625202101,0.1457661170394484,0.1464753834088693,0.12103626737609262,0.0016534682762263664,0.12678594650970276,0.001046352933644662,0.13107830824734965,0.00038764396728474537,0.13442296301010032,-0.0002834120839733112,0.13710953624968095,-0.002704909375645881,0.13931690687886267,-0.0009842621851309519,0.14116251536612126,-0.001032198811472207,0.14272716817946765,-0.0010890679239207723,0.1440685722487955,-0.0011521872258803967,0.1452292038283641,-0.0012196931667541044,0.14624112295758956,-0.0012902604373794535,0.14712904548021843,-0.0013629284407700448,0.1479123734830501,-0.0014369900741808272
24.0,0.12294054539732202,0.12809328421642313,0.13173405087861734,0.13441282255463247,0.13476423383428127,0.13858369233539128,0.1403560015540636,0.14183918901966608,0.1430936481549712,0.14416370072678594,0.14508270297651094,0.14587629725267856,0.14656455702619728,0.12128988539063033,0.0016506600066916871,0.12705714900036025,0.0010361352160628834,0.1313638783011416,0.00037017257747573584,0.13472068066543533,-0.0003078581108028611,0.1374177766361055,-0.002653542801824227,0.13963442897190884,-0.0010507366365175574,0.14148834022866552,-0.0011323386746019126,0.14306050381062188,-0.001221314790955802,0.1444087646744742,-0.0013151165195030012,0.14557570389355715,-0.001412003166771203,0.1465934629848113,-0.0015107600083003603,0.1474868223820169,-0.0016105251293383471,0.14827523624136138,-0.0017106792151641015
25.0,0.12310775189399076,0.12828753642120663,0.1319518998765971,0.13465167397649663,0.13503583743208414,0.1388540044840111,0.14063768620781836,0.14213132482819413,0.14339546071273054,0.14447452931884347,0.14540197675341363,0.1462035176940836,0.14689928473446415,0.1215411717914177,0.0015665801025730591,0.1273260198772673,0.0009615165439393336,0.13164711674118315,0.00030478313541396074,0.1350160667070199,-0.0003643927305232719,0.13772368540877958,-0.00268784797669544,0.1399496194512046,-0.0010956149671934867,0.14181183347745938,-0.0011741472696410182,0.1433915078280258,-0.0012601829998316605,0.14474662548640255,-0.0013511647736720034,0.14591987234499987,-0.0014453430261563982,0.1469434713982827,-0.0015414946448690792,0.14784226767006498,-0.001638749975981374,0.1486357673859223,-0.0017364826514581488
26.0,0.12341244528098477,0.1286214332908653,0.132310110953653,0.13503076041537268,0.1354188351165545,0.1392728155411682,0.14107607804228087,0.14258778140657485,0.14386870089143758,0.14496345484922032,0.14590563476450166,0.14672107290565098,0.14742999841488041,0.12179012657845474,0.0016223187025300317,0.1275925591404241,0.0010288741504412002,0.13192802356747443,0.0003820873861785645,0.13530912113485422,-0.0002783607194815352,0.13802726256770345,-0.002608427451148948,0.1402624783167501,-0.0009896627755819065,0.14213299511250296,-0.0010569170702220965,0.14372018023167935,-0.0011323988251044914,0.14508215468458058,-0.001213453793142999,0.14626170918269224,-0.0012982543334719154,0.14729114819800376,-0.0013855134335021002,0.14819538134436278,-0.0014743084387117966,0.1489939669167329,-0.0015639685018524752
27.0,0.1235796517776535,0.12881256459459847,0.13252193504030468,0.13526088321203786,0.13569674404001775,0.13952332803782333,0.1413298553338755,0.14284429810169494,0.14412754099439457,0.14522428269322532,0.14616817517090536,0.1469850972206229,0.14769531442467768,0.12203674975174146,0.0015429020259120352,0.12785676678983057,0.0009557978047678994,0.13220659878001537,0.00031533626028931727,0.1355998439489382,-0.00033896073690034556,0.13832850811287695,-0.0026317640728591996,0.14057300556854524,-0.0010496775307219097,0.1424518251337962,-0.0011219697999207134,0.1440465210215826,-0.0012022229198876688,0.14541535226900829,-0.0012878112746137205,0.14660121440663437,-0.001376931713409052,0.14763649338397455,-0.0014683182130691974,0.14854616340491023,-0.0015610661842873352,0.14934983483379316,-0.0016545204091154841
