log10Te_eV,log10ne_m3,log10scd_m3s,log10ccd_m3s
-0.698970,13.698970,-43.630300,-43.630300
-0.522880,13.698970,-43.611950,-43.611950
-0.301030,13.698970,-43.590680,-43.590680
-0.154900,13.698970,-43.557540,-43.557540
0.000000,13.698970,-43.528150,-43.528150
0.176090,13.698970,-43.494570,-43.494570
0.301030,13.698970,-43.443540,-43.443540
0.477120,13.698970,-43.399400,-43.399400
0.698970,13.698970,-43.349530,-43.349530
0.845100,13.698970,-43.272760,-43.272760
1.000000,13.698970,-43.204520,-43.204520
1.176090,13.698970,-43.125310,-43.125310
1.301030,13.698970,-42.999500,-42.999500
1.477120,13.698970,-42.884850,-42.884850
1.698970,13.698970,-42.748980,-42.748980
1.845100,13.698970,-42.526090,-42.526090
2.000000,13.698970,-42.319620,-42.319620
2.176090,13.698970,-42.082730,-42.082730
2.301030,13.698970,-41.731030,-41.731030
2.477120,13.698970,-41.441710,-41.441710
2.698970,13.698970,-41.138300,-41.138300
2.845100,13.698970,-40.728350,-40.728350
3.000000,13.698970,-40.421900,-40.421900
3.176090,13.698970,-40.125730,-40.125730
3.301030,13.698970,-33.803570,-33.803570
3.477120,13.698970,-33.788000,-33.788000
3.698970,13.698970,-33.769980,-33.769980
3.845100,13.698970,-33.741980,-33.741980
4.000000,13.698970,-33.717240,-33.717240
-0.698970,14.000000,-33.689240,-33.689240
-0.522880,14.000000,-33.647150,-33.647150
-0.301030,14.000000,-33.611070,-33.611070
-0.154900,14.000000,-33.570650,-33.570650
0.000000,14.000000,-33.509070,-33.509070
0.176090,14.000000,-33.454920,-33.454920
0.301030,14.000000,-33.392630,-33.392630
0.477120,14.000000,-33.294580,-33.294580
0.698970,14.000000,-33.205630,-33.205630
0.845100,14.000000,-33.100050,-33.100050
1.000000,14.000000,-32.926660,-32.926660
1.176090,14.000000,-32.766090,-32.766090
1.301030,14.000000,-32.580400,-32.580400
1.477120,14.000000,-32.296800,-32.296800
1.698970,14.000000,-32.055410,-32.055410
1.845100,14.000000,-31.796650,-31.796650
2.000000,14.000000,-31.437890,-31.437890
2.176090,14.000000,-31.159470,-31.159470
2.301030,14.000000,-30.880170,-30.880170
2.477120,14.000000,-25.946560,-25.946560
2.698970,14.000000,-25.933760,-25.933760
2.845100,14.000000,-25.918940,-25.918940
3.000000,14.000000,-25.895910,-25.895910
3.176090,14.000000,-25.875600,-25.875600
3.301030,14.000000,-25.852770,-25.852770
3.477120,14.000000,-25.818680,-25.818680
3.698970,14.000000,-25.789660,-25.789660
3.845100,14.000000,-25.757340,-25.757340
4.000000,14.000000,-25.708590,-25.708590
-0.698970,14.301030,-25.666170,-25.666170
-0.522880,14.301030,-25.617830,-25.617830
-0.301030,14.301030,-25.542760,-25.542760
-0.154900,14.301030,-25.475700,-25.475700
0.000000,14.301030,-25.397650,-25.397650
0.176090,14.301030,-25.273520,-25.273520
0.301030,14.301030,-25.161830,-25.161830
0.477120,14.301030,-25.033440,-25.033440
0.698970,14.301030,-24.833400,-24.833400
0.845100,14.301030,-24.659510,-24.659510
1.000000,14.301030,-24.470740,-24.470740
1.176090,14.301030,-24.198410,-24.198410
1.301030,14.301030,-23.971080,-23.971080
1.477120,14.301030,-23.728350,-23.728350
1.698970,14.301030,-22.581510,-22.581510
1.845100,14.301030,-22.570160,-22.570160
2.000000,14.301030,-22.557020,-22.557020
2.176090,14.301030,-22.536560,-22.536560
2.301030,14.301030,-22.518520,-22.518520
2.477120,14.301030,-22.498270,-22.498270
2.698970,14.301030,-22.468100,-22.468100
2.845100,14.301030,-22.442440,-22.442440
3.000000,14.301030,-22.413920,-22.413920
3.176090,14.301030,-22.370990,-22.370990
3.301030,14.301030,-22.333700,-22.333700
3.477120,14.301030,-22.291280,-22.291280
3.698970,14.301030,-22.225600,-22.225600
3.845100,14.301030,-22.167350,-22.167350
4.000000,14.301030,-22.100390,-22.100390
-0.698970,14.698970,-21.996260,-21.996260
-0.522880,14.698970,-21.904750,-21.904750
-0.301030,14.698970,-21.800610,-21.800610
-0.154900,14.698970,-21.638800,-21.638800
0.000000,14.698970,-21.499100,-21.499100
0.176090,14.698970,-21.346990,-21.346990
0.301030,14.698970,-21.119630,-21.119630
0.477120,14.698970,-20.921260,-20.921260
0.698970,14.698970,-20.706160,-20.706160
0.845100,14.698970,-20.059380,-20.059380
1.000000,14.698970,-20.049310,-20.049310
1.176090,14.698970,-20.037640,-20.037640
1.301030,14.698970,-20.019420,-20.019420
1.477120,14.698970,-20.003350,-20.003350
1.698970,14.698970,-19.985300,-19.985300
1.845100,14.698970,-19.958420,-19.958420
2.000000,14.698970,-19.935550,-19.935550
2.176090,14.698970,-19.910140,-19.910140
2.301030,14.698970,-19.871850,-19.871850
2.477120,14.698970,-19.838550,-19.838550
2.698970,14.698970,-19.800600,-19.800600
2.845100,14.698970,-19.741880,-19.741880
3.000000,14.698970,-19.690150,-19.690150
3.176090,14.698970,-19.631400,-19.631400
3.301030,14.698970,-19.541980,-19.541980
3.477120,14.698970,-19.465150,-19.465150
3.698970,14.698970,-19.378580,-19.378580
3.845100,14.698970,-19.245750,-19.245750
4.000000,14.698970,-19.132910,-19.132910
-0.698970,15.000000,-19.009230,-19.009230
-0.522880,15.000000,-18.817630,-18.817630
-0.301030,15.000000,-18.646970,-18.646970
-0.154900,15.000000,-18.465810,-18.465810
0.000000,15.000000,-18.036320,-18.036320
0.176090,15.000000,-18.028660,-18.028660
0.301030,15.000000,-18.019730,-18.019730
0.477120,15.000000,-18.005660,-18.005660
0.698970,15.000000,-17.993150,-17.993150
0.845100,15.000000,-17.979030,-17.979030
1.000000,15.000000,-17.957830,-17.957830
1.176090,15.000000,-17.939660,-17.939660
1.301030,15.000000,-17.919340,-17.919340
1.477120,15.000000,-17.888470,-17.888470
1.698970,15.000000,-17.861370,-17.861370
1.845100,15.000000,-17.830260,-17.830260
2.000000,15.000000,-17.781890,-17.781890
2.176090,15.000000,-17.739290,-17.739290
2.301030,15.000000,-17.691120,-17.691120
2.477120,15.000000,-17.618440,-17.618440
2.698970,15.000000,-17.556420,-17.556420
2.845100,15.000000,-17.486610,-17.486610
3.000000,15.000000,-17.380640,-17.380640
3.176090,15.000000,-17.291560,-17.291560
3.301030,15.000000,-17.192480,-17.192480
3.477120,15.000000,-17.034680,-17.034680
3.698970,15.000000,-16.895330,-16.895330
3.845100,15.000000,-16.755020,-16.755020
4.000000,15.000000,-16.978050,-16.978050
-0.698970,15.301030,-16.972200,-16.972200
-0.522880,15.301030,-16.965340,-16.965340
-0.301030,15.301030,-16.954430,-16.954430
-0.154900,15.301030,-16.944660,-16.944660
0.000000,15.301030,-16.933550,-16.933550
0.176090,15.301030,-16.916750,-16.916750
0.301030,15.301030,-16.902240,-16.902240
0.477120,15.301030,-16.885890,-16.885890
0.698970,15.301030,-16.860860,-16.860860
0.845100,15.301030,-16.838700,-16.838700
1.000000,15.301030,-16.813110,-16.813110
1.176090,15.301030,-16.773090,-16.773090
1.301030,15.301030,-16.737720,-16.737720
1.477120,15.301030,-16.697550,-16.697550
1.698970,15.301030,-16.636690,-16.636690
1.845100,15.301030,-16.584420,-16.584420
2.000000,15.301030,-16.525240,-16.525240
2.176090,15.301030,-16.435580,-16.435580
2.301030,15.301030,-16.360160,-16.360160
2.477120,15.301030,-16.275080,-16.275080
2.698970,15.301030,-16.138170,-16.138170
2.845100,15.301030,-16.019620,-16.019620
3.000000,15.301030,-15.905380,-15.905380
3.176090,15.301030,-15.908840,-15.908840
3.301030,15.301030,-15.904600,-15.904600
3.477120,15.301030,-15.899590,-15.899590
3.698970,15.301030,-15.891570,-15.891570
3.845100,15.301030,-15.884310,-15.884310
4.000000,15.301030,-15.875990,-15.875990
-0.698970,15.698970,-15.863290,-15.863290
-0.522880,15.698970,-15.852220,-15.852220
-0.301030,15.698970,-15.839670,-15.839670
-0.154900,15.698970,-15.820300,-15.820300
0.000000,15.698970,-15.803030,-15.803030
0.176090,15.698970,-15.783010,-15.783010
0.301030,15.698970,-15.751610,-15.751610
0.477120,15.698970,-15.723760,-15.723760
0.698970,15.698970,-15.691940,-15.691940
