#################################################################################
#
# name: FusionReactivities.dat
# date: 17 Feb 24
# auth: Zach Hartwig
# mail: hartwig@psfc.mit.edu

# desc: This file contains calculated reactivity (<sigma-v>) data in
#       units of [m3/s] for the four primary fusion fuels as a
#       function of plasma temperature [keV] from 1 to 1000
#       keV. Reactivitiy values were calculated by integrating the
#       relevant cross sections from ENDF/B-VIII.0 over a
#       Maxwell-Boltzmann velocity distribution at a given
#       temperature. Python-based code that plots these reactivities
#       and was modified to generate this data is available here:
#
#       https://scipython.com/blog/nuclear-fusion-cross-sections/
#
#################################################################################
#
#     T          D-T           D-D         D-3He         p-11B
#  [keV]       [m3/s]        [m3/s]        [m3/s]        [m3/s]
#  -----    ----------    ----------    ----------    ----------
    1.00    6.8509e-27    1.9857e-28    3.6101e-32    7.8892e-31
    1.07    1.0437e-26    2.9268e-28    7.1635e-32    8.4443e-31
    1.15    1.5742e-26    4.2717e-28    1.3981e-31    9.0085e-31
    1.23    2.3513e-26    6.1749e-28    2.6847e-31    9.5814e-31
    1.32    3.4786e-26    8.8426e-28    5.0744e-31    1.0163e-30
    1.42    5.0991e-26    1.2547e-27    9.4439e-31    1.0753e-30
    1.52    7.4080e-26    1.7645e-27    1.7313e-30    1.1351e-30
    1.63    1.0669e-25    2.4598e-27    3.1273e-30    1.1958e-30
    1.75    1.5237e-25    3.4000e-27    5.5685e-30    1.2575e-30
    1.87    2.1584e-25    4.6605e-27    9.7770e-30    1.3202e-30
    2.01    3.0334e-25    6.3367e-27    1.6933e-29    1.3839e-30
    2.15    4.2303e-25    8.5477e-27    2.8936e-29    1.4488e-30
    2.31    5.8557e-25    1.1441e-26    4.8808e-29    1.5152e-30
    2.48    8.0470e-25    1.5199e-26    8.1288e-29    1.5832e-30
    2.66    1.0981e-24    2.0043e-26    1.3371e-28    1.6538e-30
    2.85    1.4881e-24    2.6241e-26    2.1731e-28    1.7282e-30
    3.05    2.0031e-24    3.4116e-26    3.4905e-28    1.8096e-30
    3.27    2.6786e-24    4.4052e-26    5.5425e-28    1.9040e-30
    3.51    3.5589e-24    5.6504e-26    8.7031e-28    2.0234e-30
    3.76    4.6983e-24    7.2006e-26    1.3518e-27    2.1905e-30
    4.04    6.1633e-24    9.1182e-26    2.0777e-27    2.4469e-30
    4.33    8.0342e-24    1.1475e-25    3.1607e-27    2.8664e-30
    4.64    1.0407e-23    1.4355e-25    4.7604e-27    3.5751e-30
    4.98    1.3394e-23    1.7853e-25    7.1005e-27    4.7824e-30
    5.34    1.7127e-23    2.2078e-25    1.0492e-26    6.8270e-30
    5.72    2.1755e-23    2.7150e-25    1.5361e-26    1.0247e-29
    6.14    2.7448e-23    3.3209e-25    2.2293e-26    1.5885e-29
    6.58    3.4389e-23    4.0407e-25    3.2076e-26    2.5059e-29
    7.05    4.2778e-23    4.8915e-25    4.5771e-26    3.9831e-29
    7.56    5.2823e-23    5.8921e-25    6.4792e-26    6.3476e-29
    8.11    6.4735e-23    7.0634e-25    9.1010e-26    1.0128e-28
    8.70    7.8722e-23    8.4280e-25    1.2689e-25    1.6196e-28
    9.33    9.4975e-23    1.0011e-24    1.7564e-25    2.6012e-28
   10.00    1.1367e-22    1.1838e-24    2.4143e-25    4.2051e-28
