B_0_vac,B_m,N_rho,Rev_per_vol_opt,n_20_opt,E_b100_opt,P_nbi_opt,NWL_at_opt_Rev_per_vol,a_0_opt,a_0_limit_opt,L_mirror_opt,V_plasma_opt,a_w_opt,B_w_opt,q_w_opt
2.5,22,10,,,,,,,,,,,,
2.75,22,10,,,,,,,,,,,,
3.0,22,10,2033468015.9150639,2.4163326653306614,0.29218436873747494,14.859402736685306,0.5017067987749085,0.12354438430522784,adiab,3.0,0.0919198617953911,0.7177431484628563,0.07004949164907673,4.202853606782791
3.25,22,10,2798257142.1688294,2.7107444054776213,0.2841683366733467,13.739308591221546,0.5018230289656177,0.1016914181329736,DCLC,3.0,0.06301172145253148,0.6326142793471591,0.06908191076316067,4.993537826487717
3.5,22,10,3226183211.081052,2.5544839679358713,0.3322645290581162,11.49399353276108,0.5414225065567726,0.10001468026598702,DCLC,3.0,0.06154265685626876,0.6273771747211452,0.07469963660097652,4.265377717264268
3.75,22,10,3656164736.326485,2.7626189879759515,0.3683366733466934,13.404441891136063,0.7134931344893629,0.1,eng,3.0,0.061865137334393305,0.6273671508501274,0.07865004573132453,4.987374273224537
4.0,22,10,4122825433.939724,2.7715430861723442,0.41843687374749494,13.266226819657403,0.8150148457686454,0.1,eng,3.0,0.0623024566382846,0.627378121956145,0.08382845715250453,4.952982609027056
4.25,22,10,4592188810.225421,2.791718854375417,0.47054108216432866,13.28777345393512,0.9118382480893839,0.1,eng,3.0,0.06272615306102097,0.627517537902473,0.08889457792801723,4.974081889695749
4.5,22,10,5046253525.8163595,2.8034819639278554,0.5266533066132264,13.244688762340312,0.9950585014798621,0.1,eng,3.0,0.06314464772097544,0.6274149129217087,0.0940456920025248,4.973503271479586
4.75,22,10,5036377921.437746,2.8182615230460923,0.5847695390781562,13.274944210959353,1.0662239102956697,0.1,eng,3.0,0.06355871277184426,0.6276984178351563,0.09909890819211067,4.991688547401136
5.0,22,10,5004987417.394498,2.8116232464929856,0.6488977955911823,13.09811660307958,1.1134317150590367,0.1,eng,3.0,0.06397660011625148,0.6275958241029254,0.1043913822578597,4.937045295106612
5.25,22,10,4975316829.33094,2.8279371242484963,0.7130260521042084,13.198986725076796,1.1639698442400872,0.1,eng,3.0,0.06437617909433484,0.6277643972466099,0.10942818546674705,4.9796243252145445
5.5,22,10,4945098469.488856,2.8371325985303937,0.7791583166332665,13.272553762930645,1.1999042764342738,0.1,eng,3.0,0.06478455119845689,0.6286064944864521,0.11439034085439291,4.999282026872854
5.75,22,10,,,,,,,,,,,,
6.0,22,10,,,,,,,,,,,,
6.25,22,10,,,,,,,,,,,,
6.5,22,10,,,,,,,,,,,,
6.75,22,10,,,,,,,,,,,,
7.0,22,10,,,,,,,,,,,,
2.5,25,10,,,,,,,,,,,,
2.75,25,10,,,,,,,,,,,,
3.0,25,10,2101873551.5577285,2.5375751503006008,0.27815631262525053,14.59674938739776,0.5006236182728654,0.12043382960620563,adiab,3.0,0.08637032031166322,0.7083989618165984,0.06834723645097668,4.236949172808801
3.25,25,10,2887774902.514535,2.8129801269205075,0.2741482965931864,13.250121707158158,0.5017417400720412,0.1,eng,3.0,0.060193086452259806,0.627538326720776,0.06785303447660486,4.89479842961101
3.5,25,10,3317652133.261244,2.628507014028056,0.3282565130260521,11.068785623282901,0.5623501650236338,0.10001884401465053,DCLC,3.0,0.06072312711164198,0.6273902338724547,0.0742477290259814,4.112902983377366
3.75,25,10,3770593271.254256,2.830786573146292,0.36432865731462927,12.753608335971107,0.7369719687823001,0.10005276673274119,DCLC,3.0,0.06107410541801685,0.6274966187140695,0.07822096426621863,4.751188972592436
4.0,25,10,4276084477.640861,2.8851035404141614,0.41042084168336673,13.017298211934161,0.8631890105910719,0.1,eng,3.0,0.06138373238781848,0.6273503748900752,0.08302161973223908,4.868962932443637
4.25,25,10,4801519849.858874,2.9355794923179688,0.46052104208416833,13.332317248810343,0.9895843090989157,0.10027079808633861,DCLC,3.0,0.06207375320517179,0.6281799555558817,0.08794299220514594,4.990607657791539
4.5,25,10,5151132156.024178,2.9525300601202398,0.512625250501002,13.248576397747392,1.0779493070422899,0.1,eng,3.0,0.062129486425621244,0.6278299708498535,0.09278472737700642,4.979469965696138
4.75,25,10,5122302415.543024,2.9697833166332663,0.5687374749498998,13.24487691184461,1.160840367087221,0.1,eng,3.0,0.06250336388011192,0.6282376450353574,0.09773101776641246,4.985015526096988
5.0,25,10,5094208856.665372,2.981462925851703,0.6288577154308617,13.202891570827925,1.227583066469673,0.1,eng,3.0,0.06287024457512622,0.6282596641696554,0.10276676737007273,4.980365132228977
5.25,25,10,5067643106.614791,2.9960232965931857,0.6929859719438878,13.198991267200219,1.2869354859424869,0.1,eng,3.0,0.0632205646468662,0.6275774211580264,0.10787944920388151,4.999630306310482
5.5,25,10,5039768234.688126,2.999916499665998,0.7591182364729459,13.143498038482857,1.3245875178152275,0.1,eng,3.0,0.06358671616502236,0.6279778940034848,0.11290968898536674,4.979655163535867
5.75,25,10,5012836175.171687,2.9970566132264524,0.8312625250501002,13.026588030441793,1.3469738245961145,0.1,eng,3.0,0.06394172060855847,0.6275196708193652,0.11815323032915874,4.9485989045263095
6.0,25,10,4985438251.190529,2.9919839679358713,0.9054108216432866,12.93263517942457,1.3580626911695268,0.1,eng,3.0,0.06430320778178132,0.6277075711644913,0.12331029571394031,4.913936135378053
6.25,25,10,4959125126.013613,2.9898651469605877,0.983567134268537,12.884780799948633,1.3639018488717025,0.1,eng,3.0,0.06465246648071771,0.627449415928783,0.12852230414875843,4.902181551486739
6.5,25,10,,,,,,,,,,,,
6.75,25,10,,,,,,,,,,,,
7.0,25,10,,,,,,,,,,,,
2.5,28,10,,,,,,,,,,,,
2.75,28,10,,,,,,,,,,,,
3.0,28,10,2145504220.169547,2.614729458917836,0.27014028056112227,14.243353917023734,0.500943257407576,0.11899747992367768,adiab,3.0,0.08353834520369827,0.7048900000887013,0.06735520651650427,4.176097707927305
3.25,28,10,2953118531.512999,2.8129801269205075,0.2741482965931864,12.227289573122292,0.5001370196645815,0.1,eng,3.0,0.05959303709423727,0.627538326720776,0.06785303447660486,4.522010491767565
3.5,28,10,3394294819.6314106,2.70253006012024,0.32424849699398794,10.829797798457088,0.5836054632545957,0.10002338616087081,DCLC,3.0,0.06005602861032436,0.627404479517138,0.07379305402755175,4.028309841608059
